"CCLE_19Q4_gene_symbol","HGNC_ID","HGNC_approved_symbol","HGNC_alias_symbols","HGNC_previous_symbols"
"TSPAN9","HGNC:21640","TSPAN9","NET-5",""
"BTBD7","HGNC:18269","BTBD7","FLJ10648|FUP1",""
"APBA3","HGNC:580","APBA3","X11L2|mint3",""
"MKS1","HGNC:7121","MKS1","FLJ20345|POC12|BBS13","MKS"
"ABHD5","HGNC:21396","ABHD5","CGI-58|NCIE2",""
"ANOS1","HGNC:6211","ANOS1","KALIG-1|WFDC19","KAL|ADMLX|KAL1"
"AKAP8L","HGNC:29857","AKAP8L","NAKAP95|HAP95",""
"MBTD1","HGNC:19866","MBTD1","SA49P01|FLJ20055",""
"UTP18","HGNC:24274","UTP18","CGI-48","WDR50"
"RNF216","HGNC:21698","RNF216","TRIAD3|UBCE7IP1|ZIN",""
"TTC19","HGNC:26006","TTC19","FLJ20343|MGC19520",""
"PTBP1","HGNC:9583","PTBP1","HNRPI|HNRNP-I|PTB2|PTB3|PTB-1|PTB4|pPTB","PTB"
"DPF1","HGNC:20225","DPF1","neuro-d4|NEUD4|BAF45b|SMARCG1",""
"SYT7","HGNC:11514","SYT7","IPCA-7|SYT-VII|MGC150517","PCANAP7"
"LARS2","HGNC:17095","LARS2","KIAA0028|LEURS|MGC26121|mtLeuRS",""
"PIK3C2A","HGNC:8971","PIK3C2A","PI3K-C2alpha",""
"PLAUR","HGNC:9053","PLAUR","URKR|UPAR|CD87",""
"ANLN","HGNC:14082","ANLN","ANILLIN|Scraps|scra",""
"WIZ","HGNC:30917","WIZ","ZNF803",""
"RABGAP1","HGNC:17155","RABGAP1","GAPCenA|TBC1D11",""
"DCN","HGNC:2705","DCN","DSPG2|SLRR1B",""
"QPCTL","HGNC:25952","QPCTL","FLJ20084",""
"PPP5C","HGNC:9322","PPP5C","PP5","PPP5"
"CEP68","HGNC:29076","CEP68","","KIAA0582"
"MAP4K3","HGNC:6865","MAP4K3","GLK|MAPKKKK3","RAB8IPL1"
"ZBTB32","HGNC:16763","ZBTB32","TZFP|FAZF|FAXF|Rog|ZNF538",""
"TYROBP","HGNC:12449","TYROBP","DAP12|PLO-SL|KARAP","PLOSL"
"TMEM159","HGNC:30136","LDAF1","promethin","TMEM159"
"GABRA3","HGNC:4077","GABRA3","",""
"BRCA1","HGNC:1100","BRCA1","RNF53|BRCC1|PPP1R53|FANCS",""
"ERCC1","HGNC:3433","ERCC1","RAD10",""
"CD22","HGNC:1643","CD22","SIGLEC-2|SIGLEC2",""
"SEMA3B","HGNC:10724","SEMA3B","SemA|semaV|LUCA-1|sema5","SEMAA"
"MBTPS2","HGNC:15455","MBTPS2","S2P","KFSD"
"PRICKLE3","HGNC:6645","PRICKLE3","","LMO6"
"LTF","HGNC:6720","LTF","HLF2",""
"EXTL3","HGNC:3518","EXTL3","botv|REGR",""
"NR1H4","HGNC:7967","NR1H4","FXR|RIP14|HRR1|HRR-1",""
"ELOVL5","HGNC:21308","ELOVL5","HELO1|dJ483K16.1","SCA38"
"ALOX5","HGNC:435","ALOX5","5-LOX",""
"KDM5D","HGNC:11115","KDM5D","KIAA0234","HYA|HY|SMCY|JARID1D"
"CALCOCO1","HGNC:29306","CALCOCO1","KIAA1536|calphoglin|Cocoa",""
"UBR7","HGNC:20344","UBR7","","C14orf130"
"MAP4K5","HGNC:6867","MAP4K5","KHS1|GCKR|KHS",""
"EHD3","HGNC:3244","EHD3","","PAST3"
"PSMC4","HGNC:9551","PSMC4","TBP7|S6|MGC8570|MGC13687|MGC23214|TBP-7|RPT3","MIP224"
"MAN2B2","HGNC:29623","MAN2B2","KIAA0935|EpMAN",""
"SLC7A14","HGNC:29326","SLC7A14","KIAA1613|PPP1R142",""
"CLDN11","HGNC:8514","CLDN11","OSP","OTM"
"SLC25A39","HGNC:24279","SLC25A39","FLJ22407|CGI-69",""
"MVP","HGNC:7531","MVP","LRP|VAULT1",""
"NUB1","HGNC:17623","NUB1","BS4|NYREN18|NUB1L",""
"PGM3","HGNC:8907","PGM3","AGM1|DKFZP434B187|PAGM",""
"RWDD2A","HGNC:21385","RWDD2A","MGC13523|dJ747H23.2","RWDD2"
"CLK1","HGNC:2068","CLK1","",""
"POLR3B","HGNC:30348","POLR3B","RPC2|FLJ10388|C128",""
"ANGEL1","HGNC:19961","ANGEL1","Ccr4e","KIAA0759"
