ENSID,Log2FC,AveExpr,t,P.Value,adj.P.Val,B,Gene
ENSG00000143933,2.712722743,2.712722743,5.846424928,0.000688715,0.033749705,0.092929109,CALM2
ENSG00000143947,2.133407667,2.133407667,4.982813476,0.00170713,0.043562033,-0.825590128,RPS27A
ENSG00000143971,2.643935046,2.643935046,6.07395714,0.000550711,0.032106441,0.316555257,ETAA1
ENSG00000144381,2.195723992,2.195723992,4.574045424,0.002717539,0.049643171,-1.300962429,HSPD1
ENSG00000144476,-4.120699275,-4.120699275,-6.083701043,0.000545536,0.032027897,0.325968927,ACKR3
ENSG00000144644,-2.490269089,-2.490269089,-5.054071959,0.001578029,0.042606605,-0.745453662,GADL1
ENSG00000145147,-3.034674979,-3.034674979,-5.145059911,0.001428721,0.041183387,-0.644293335,SLIT2
ENSG00000145198,-2.543078877,-2.543078877,-4.988040072,0.001697271,0.04355245,-0.819685036,VWA5B2
ENSG00000145247,2.184057228,2.184057228,4.986846624,0.001699517,0.04355245,-0.821033031,OCIAD2
ENSG00000145335,2.320076444,2.320076444,5.417642593,0.001067863,0.03744746,-0.348943808,SNCA
ENSG00000145375,-3.262585622,-3.262585622,-5.161135301,0.001404015,0.041128093,-0.626555696,SPATA5
ENSG00000145494,2.219604866,2.219604866,5.102074212,0.001497201,0.04198946,-0.691922699,NDUFS6
ENSG00000145692,-3.161520747,-3.161520747,-5.143895362,0.002305817,0.047459535,-0.938706024,BHMT
ENSG00000145741,2.272467977,2.272467977,5.107836428,0.001487812,0.04198946,-0.685521178,BTF3
ENSG00000145824,2.969008129,2.969008129,5.062975229,0.001562677,0.04252135,-0.735497536,CXCL14
ENSG00000146006,-3.925557863,-3.925557863,-4.901419886,0.001869176,0.045123373,-0.918110233,LRRTM2
ENSG00000146192,-5.897382079,-5.897382079,-9.457710282,3.57E-05,0.018613838,2.914817773,FGD2
ENSG00000146247,-3.264786628,-3.264786628,-5.844833221,0.000689808,0.033749705,0.09133873,PHIP
ENSG00000146386,2.640670335,2.640670335,5.801080881,0.000720633,0.034156813,0.047479684,ABRACL
ENSG00000146410,3.467605424,3.467605424,4.975946667,0.001720179,0.043732871,-0.833354946,MTFR2
ENSG00000146648,-4.142528488,-4.142528488,-5.550076187,0.001580391,0.042606605,-0.57133886,EGFR
ENSG00000146938,-2.096230952,-2.096230952,-4.747323713,0.002224955,0.047407147,-1.096170904,NLGN4X
ENSG00000147113,-6.439428825,-6.439428825,-8.000000687,0.000232879,0.026758941,1.180261779,CXorf36
ENSG00000147421,-2.280500191,-2.280500191,-5.347830403,0.00114945,0.038672981,-0.423496778,HMBOX1
ENSG00000147586,2.229721205,2.229721205,5.234922962,0.001296558,0.040140576,-0.545655227,MRPS28
ENSG00000148120,-2.58443558,-2.58443558,-5.037020784,0.001607901,0.042706426,-0.764556136,C9orf3
ENSG00000148362,2.593928554,2.593928554,5.232614411,0.001299778,0.040146771,-0.54817348,PAXX
ENSG00000149313,1.997777958,1.997777958,4.579321611,0.002700867,0.049643171,-1.294655053,AASDHPPT
ENSG00000149418,-5.924190627,-5.924190627,-10.45906191,5.33E-05,0.019406976,2.355624437,ST14
